Id,TimeStamp,DateTime,Dc,State,EnergyConsumption,VmsCount,MigratedVmsCount,CpuSpecs,RamSpecs,BwSpecs,SizeSpecs,CpuProv,RamProv,BwProv,SizeProv,CpuReq,RamReq,BwReq,SizeReq
5,1357336800670,2013-01-05 07:00:00,1,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
21,1357340400670,2013-01-04 21:00:00,5,Running,0.1280,3,0,3000,4096,1024,327680,1052,666,30,157286,1052,666,30,157286
22,1357340400670,2013-01-04 21:00:00,5,Running,0.1274,3,0,3000,4096,1024,327680,1019,683,29,157286,1019,683,29,157286
23,1357340400670,2013-01-04 21:00:00,5,Running,0.1296,3,0,3000,4096,1024,327680,1128,658,30,157286,1128,658,30,157286
24,1357340400670,2013-01-04 21:00:00,5,Running,0.1282,3,0,3000,4096,1024,327680,1061,653,30,157286,1061,653,30,157286
25,1357340400670,2013-01-04 21:00:00,5,Running,0.1289,3,0,3000,4096,1024,327680,1096,685,31,157286,1096,685,31,157286
16,1357340400670,2013-01-04 18:00:00,4,Running,0.1287,3,0,3000,4096,1024,327680,1085,644,31,157286,1085,644,31,157286
17,1357340400670,2013-01-04 18:00:00,4,Running,0.1276,3,0,3000,4096,1024,327680,1031,671,30,157286,1031,671,30,157286
18,1357340400670,2013-01-04 18:00:00,4,Running,0.1288,3,0,3000,4096,1024,327680,1089,661,31,157286,1089,661,31,157286
19,1357340400670,2013-01-04 18:00:00,4,Running,0.1127,1,0,3000,4096,1024,327680,337,237,9,52429,337,237,9,52429
20,1357340400670,2013-01-04 18:00:00,4,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
11,1357340400670,2013-01-05 00:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
12,1357340400670,2013-01-05 00:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
13,1357340400670,2013-01-05 00:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
14,1357340400670,2013-01-05 00:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
15,1357340400670,2013-01-05 00:00:00,3,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
6,1357340400670,2013-01-05 00:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
7,1357340400670,2013-01-05 00:00:00,2,Running,0.1050,0,0,3000,4096,1024,327680,0,0,0,0,0,0,0,0
